trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
68,False,"{'a': 0.5, 'e': 0.5066169923655895}",20,0,-36.296047020814754,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
69,False,"{'a': 0.5, 'e': 0.5015760690660555}",20,10,19.459501284357554,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
70,False,"{'a': 0.5, 'e': 0.49658530379140947}",30,8,-16.785264056510933,"{0: 18, 1: 0, 2: 4, 3: 0, 4: 0}",1
71,False,"{'a': 0.5, 'e': 0.4916441974609651}",20,12,4.61313504137441,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
72,False,"{'a': 0.5, 'e': 0.4867522559599717}",30,0,-151.97277305966117,"{0: 21, 1: 2, 2: 3, 3: 1, 4: 3}",0
73,False,"{'a': 0.5, 'e': 0.48190899009020244}",20,5,-11.558502280113402,"{0: 12, 1: 0, 2: 3, 3: 0, 4: 0}",1
74,False,"{'a': 0.5, 'e': 0.4771139155210344}",20,9,-5.059078531171537,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
75,False,"{'a': 0.5, 'e': 0.4723665527410147}",30,3,-41.60097573588429,"{0: 22, 1: 1, 2: 3, 3: 0, 4: 1}",1
76,False,"{'a': 0.5, 'e': 0.46766642700990924}",30,16,-2.6144969467256147,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
77,False,"{'a': 0.5, 'e': 0.46301306831122807}",20,0,-55.9961979734947,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
78,False,"{'a': 0.5, 'e': 0.4584060113052235}",20,11,1.1289660917103717,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
79,False,"{'a': 0.5, 'e': 0.45384479528235583}",20,0,-81.69164710513854,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 2}",0
80,False,"{'a': 0.5, 'e': 0.44932896411722156}",35,0,-32.706197035052526,"{0: 31, 1: 1, 2: 1, 3: 1, 4: 1}",0
81,False,"{'a': 0.5, 'e': 0.4448580662229411}",30,19,-64.24983334090076,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 2}",1
82,False,"{'a': 0.5, 'e': 0.44043165450599925}",20,1,8.873147413893633,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 0}",1
83,False,"{'a': 0.5, 'e': 0.43604928632153556}",20,2,-29.279163646040924,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 1}",1
84,False,"{'a': 0.5, 'e': 0.43171052342907973}",20,0,-25.623458285370592,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
85,False,"{'a': 0.5, 'e': 0.4274149319487267}",20,8,-44.78491758439865,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 1}",1
86,False,"{'a': 0.5, 'e': 0.4231620823177488}",35,2,-80.84765938479583,"{0: 26, 1: 1, 2: 3, 3: 2, 4: 1}",1
87,False,"{'a': 0.5, 'e': 0.418951549247639}",25,18,-31.117126752348504,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 1}",1
